DATAFLOW,LAST UPDATE,freq,itm_newa,indic_ag,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU27_2020,2018,44996.24,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU27_2020,2019,47573.03,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU27_2020,2020,47337.26,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU27_2020,2021,63667.54,e
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU27_2020_EFTA,2012,55536.86,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU27_2020_EFTA,2013,52291.74,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU27_2020_EFTA,2014,48878.69,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU27_2020_EFTA,2015,46930.86,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU27_2020_EFTA,2016,41113.84,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU27_2020_EFTA,2017,43745.63,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU27_2020_EFTA,2018,45565.39,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU27_2020_EFTA,2019,48366.28,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU27_2020_EFTA,2020,48138.13,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,EU27_2020_EFTA,2021,64439.94,e
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,FI,2012,665.96,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,FI,2013,703.70,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,FI,2014,543.32,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,FI,2015,491.85,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,FI,2016,446.44,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,FI,2017,447.14,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,FI,2018,447.33,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,FI,2019,648.13,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,FI,2020,486.17,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,FI,2021,436.15,e
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,FR,2012,14639.30,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,FR,2013,11852.50,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,FR,2014,11206.60,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,FR,2015,11220.90,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,FR,2016,8003.17,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,FR,2017,9846.95,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,FR,2018,10626.38,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,FR,2019,10944.45,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,FR,2020,9968.24,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,FR,2021,14567.53,e
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,HR,2012,653.97,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,HR,2013,448.45,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,HR,2014,375.81,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,HR,2015,315.34,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,HR,2016,365.05,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,HR,2017,323.85,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,HR,2018,399.05,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,HR,2019,393.12,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,HR,2020,446.55,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,HR,2021,636.94,e
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,HU,2012,2105.54,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,HU,2013,2250.42,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,HU,2014,2374.99,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,HU,2015,2067.64,
